Date,Close
3/3/15,106.35
4/3/15,105.57
5/3/15,105.03
6/3/15,103.82
9/3/15,105.26
10/3/15,103.09
11/3/15,102.89
12/3/15,107.17
13/03/2015,106.44
16/03/2015,107.37
17/03/2015,106.96
18/03/2015,107.97
19/03/2015,107.37
20/03/2015,108.43
23/03/2015,108.22
24/03/2015,107.11
25/03/2015,105
26/03/2015,105.24
27/03/2015,105.48
30/03/2015,106.12
31/03/2015,104.89
1/4/15,105.44
2/4/15,106
6/4/15,105.63
7/4/15,105.43
8/4/15,106.36
9/4/15,106.77
10/4/15,106.95
13/04/2015,106.51
14/04/2015,106.66
15/04/2015,106.98
16/04/2015,108.1
17/04/2015,106.69
20/04/2015,108.22
21/04/2015,107.68
22/04/2015,107.94
23/04/2015,109
24/04/2015,109.53
27/04/2015,110.16
28/04/2015,109.92
29/04/2015,109.81
30/04/2015,108.72
1/5/15,110.52
4/5/15,111.03
5/5/15,110.81
6/5/15,109.72
7/5/15,109.26
8/5/15,110.11
11/5/15,108.6
12/5/15,109.24
13/05/2015,109.19
14/05/2015,109.93
15/05/2015,110.3
18/05/2015,110.33
19/05/2015,110.56
20/05/2015,110.2
21/05/2015,110.39
22/05/2015,110.26
26/05/2015,109.44
27/05/2015,110.37
28/05/2015,110.53
29/05/2015,110.37
1/6/15,110.96
2/6/15,110.75
3/6/15,111.17
4/6/15,110.3
5/6/15,110.3
8/6/15,109.29
9/6/15,108.52
10/6/15,110
11/6/15,110.62
12/6/15,109.95
15/06/2015,110.18
16/06/2015,111.06
17/06/2015,111.49
18/06/2015,113.22
19/06/2015,112.62
22/06/2015,113.53
23/06/2015,114.41
24/06/2015,113.77
25/06/2015,114.45
26/06/2015,114.99
29/06/2015,113.05
30/06/2015,114.14
1/7/15,115.13
2/7/15,114.97
6/7/15,115.7
7/7/15,117.1
8/7/15,115.19
9/7/15,115.6
10/7/15,116.44
13/07/2015,118.05
14/07/2015,117.85
15/07/2015,118.3
16/07/2015,119.07
17/07/2015,118.86
20/07/2015,119.58
21/07/2015,119.31
22/07/2015,119.33
23/07/2015,118.8
24/07/2015,118.91
27/07/2015,118.25
28/07/2015,118.46
29/07/2015,119.84
30/07/2015,120.03
31/07/2015,120
3/8/15,121.12
4/8/15,121.69
5/8/15,110.53
6/8/15,108.55
7/8/15,109.35
10/8/15,111
11/8/15,108
12/8/15,106.99
13/08/2015,107.52
14/08/2015,107.16
17/08/2015,109.05
18/08/2015,106.94
19/08/2015,106.45
20/08/2015,100.02
21/08/2015,98.84
24/08/2015,95.36
25/08/2015,95.89
26/08/2015,99.23
27/08/2015,102.17
28/08/2015,102.48
31/08/2015,101.88
1/9/15,99.51
2/9/15,101.89
3/9/15,101.99
4/9/15,100.97
8/9/15,104.01
9/9/15,101.91
10/9/15,102.6
11/9/15,104.48
14/09/2015,103.82
15/09/2015,103.43
16/09/2015,103.96
17/09/2015,104.2
18/09/2015,102.84
21/09/2015,103.41
22/09/2015,102.49
23/09/2015,101.57
24/09/2015,100.62
25/09/2015,100.3
28/09/2015,98.49
29/09/2015,99.42
30/09/2015,102.2
1/10/15,102.67
2/10/15,103
5/10/15,103.85
6/10/15,103.77
7/10/15,103.39
8/10/15,104.61
9/10/15,105.56
12/10/15,106.35
13/10/2015,106.59
14/10/2015,105.73
15/10/2015,107.89
16/10/2015,108.24
19/10/2015,109.47
20/10/2015,109.84
21/10/2015,110.09
22/10/2015,113.25
23/10/2015,113.09
26/10/2015,113.52
27/10/2015,113.77
28/10/2015,114.34
29/10/2015,115.04
30/10/2015,113.74
2/11/15,115.04
3/11/15,115.54
4/11/15,113.25
5/11/15,113
6/11/15,115.67
9/11/15,116.42
10/11/15,117.42
11/11/15,116.52
12/11/15,116.21
13/11/2015,114.84
16/11/2015,115.92
17/11/2015,116.13
18/11/2015,118.14
19/11/2015,118.71
20/11/2015,120.07
23/11/2015,119.42
24/11/2015,117.95
25/11/2015,118.67
27/11/2015,115.13
30/11/2015,113.47
1/12/15,115.39
2/12/15,114
3/12/15,111.89
4/12/15,114.24
7/12/15,113.83
8/12/15,112.48
9/12/15,111.47
10/12/15,110.76
11/12/15,108.04
14/12/2015,109.35
15/12/2015,112.16
16/12/2015,113.79
17/12/2015,112.01
18/12/2015,107.72
21/12/2015,106.59
22/12/2015,106.74
23/12/2015,105.56
24/12/2015,105.86
28/12/2015,107.25
29/12/2015,107.08
30/12/2015,106.34
31/12/2015,105.08
4/1/16,102.98
5/1/16,100.9
6/1/16,100.36
7/1/16,99.5
8/1/16,99.25
11/1/16,99.92
12/1/16,101.46
13/01/2016,98.48
14/01/2016,99.11
15/01/2016,93.9
19/01/2016,93.97
20/01/2016,92.54
21/01/2016,94.02
22/01/2016,96.9
25/01/2016,95.29
26/01/2016,96.27
27/01/2016,94.32
28/01/2016,93.53
29/01/2016,95.82
1/2/16,95.15
2/2/16,93.12
3/2/16,95.14
4/2/16,95.43
5/2/16,93.9
8/2/16,92.12
9/2/16,92.32
10/2/16,88.85
11/2/16,90.31
12/2/16,91.15
16/02/2016,92.91
17/02/2016,95.5
18/02/2016,95.17
19/02/2016,95.01
22/02/2016,96.37
23/02/2016,95.38
24/02/2016,95.43
25/02/2016,95.65
26/02/2016,95.31
29/02/2016,95.52
1/3/16,97.65
2/3/16,97
3/3/16,98.82
4/3/16,98.48
7/3/16,99.39
8/3/16,97.82
9/3/16,97.66
10/3/16,97.04
11/3/16,97.94
14/03/2016,98.81
15/03/2016,98.24
16/03/2016,98.44
17/03/2016,99.6
18/03/2016,99.2
21/03/2016,98.46
22/03/2016,97.58
23/03/2016,96.83
24/03/2016,97.22
28/03/2016,98.09
29/03/2016,98.16
30/03/2016,98.91
31/03/2016,99.31
1/4/16,99.07
4/4/16,98.68
5/4/16,97
6/4/16,97.48
7/4/16,96.16
8/4/16,96.42
11/4/16,96.27
12/4/16,97.35
13/04/2016,99.48
14/04/2016,98.63
15/04/2016,98.59
18/04/2016,101.48
19/04/2016,102.64
20/04/2016,103.27
21/04/2016,102.91
22/04/2016,103.77
25/04/2016,104.57
26/04/2016,104.89
27/04/2016,105.28
28/04/2016,104.03
29/04/2016,103.26
2/5/16,104.36
3/5/16,103.78
4/5/16,103.67
5/5/16,104.93
6/5/16,105.54
9/5/16,105.34
10/5/16,106.6
11/5/16,102.29
12/5/16,101.71
13/05/2016,100.52
16/05/2016,100.36
17/05/2016,99.94
18/05/2016,99
19/05/2016,98.41
20/05/2016,99.78
23/05/2016,99.18
24/05/2016,99.51
25/05/2016,99.86
26/05/2016,99.81
27/05/2016,100.29
31/05/2016,99.22
1/6/16,98.52
2/6/16,98.72
3/6/16,98.75
6/6/16,98.78
7/6/16,98.35
8/6/16,98.04
9/6/16,97.84
10/6/16,97.34
13/06/2016,97.57
14/06/2016,98.4
15/06/2016,98.27
16/06/2016,98.38
17/06/2016,99
20/06/2016,99.57
21/06/2016,98.82
