Date,Close
17/09/2015,94.34
18/09/2015,94.4
21/09/2015,95.55
22/09/2015,92.96
23/09/2015,93.97
24/09/2015,94.41
25/09/2015,92.77
28/09/2015,89.21
29/09/2015,86.67
30/09/2015,89.9
1/10/15,90.95
2/10/15,92.07
5/10/15,94.01
6/10/15,92.8
7/10/15,92.4
8/10/15,92.47
9/10/15,93.24
12/10/15,94.26
13/10/2015,94.12
14/10/2015,94.07
15/10/2015,95.96
16/10/2015,97.54
19/10/2015,98.47
20/10/2015,97
21/10/2015,97.11
22/10/2015,99.67
23/10/2015,102.19
26/10/2015,103.77
27/10/2015,103.7
28/10/2015,104.2
29/10/2015,104.88
30/10/2015,101.97
2/11/15,103.31
3/11/15,102.58
4/11/15,103.94
5/11/15,108.76
6/11/15,107.1
9/11/15,106.49
10/11/15,107.91
11/11/15,109.01
12/11/15,108.02
13/11/2015,103.95
16/11/2015,104.04
17/11/2015,105.13
18/11/2015,107.77
19/11/2015,106.26
20/11/2015,107.32
23/11/2015,106.95
24/11/2015,105.74
25/11/2015,105.41
27/11/2015,105.45
30/11/2015,104.24
1/12/15,107.12
2/12/15,106.07
3/12/15,104.38
4/12/15,106.18
7/12/15,105.61
8/12/15,106.49
9/12/15,104.6
10/12/15,105.42
11/12/15,102.12
14/12/2015,104.66
15/12/2015,104.55
16/12/2015,106.79
17/12/2015,106.22
18/12/2015,104.04
21/12/2015,104.77
22/12/2015,105.51
23/12/2015,104.63
24/12/2015,105.02
28/12/2015,105.93
29/12/2015,107.26
30/12/2015,106.22
31/12/2015,104.66
4/1/16,102.22
5/1/16,102.73
6/1/16,102.97
7/1/16,97.92
8/1/16,97.33
11/1/16,97.51
12/1/16,99.37
13/01/2016,95.44
14/01/2016,98.37
15/01/2016,94.97
19/01/2016,95.26
20/01/2016,94.35
21/01/2016,94.16
22/01/2016,97.94
25/01/2016,97.01
26/01/2016,97.34
27/01/2016,94.45
28/01/2016,109.11
29/01/2016,112.21
1/2/16,115.09
2/2/16,114.61
3/2/16,112.69
4/2/16,110.49
5/2/16,104.07
8/2/16,99.75
9/2/16,99.54
10/2/16,101
11/2/16,101.91
12/2/16,102.01
16/02/2016,101.61
17/02/2016,105.2
18/02/2016,103.47
19/02/2016,104.57
22/02/2016,107.16
23/02/2016,105.46
24/02/2016,106.88
25/02/2016,108.07
26/02/2016,107.92
29/02/2016,106.92
