Date,Close
3/3/15,129.36
4/3/15,128.54
5/3/15,126.41
6/3/15,126.6
9/3/15,127.14
10/3/15,124.51
11/3/15,122.24
12/3/15,124.45
13/03/2015,123.59
16/03/2015,124.95
17/03/2015,127.04
18/03/2015,128.47
19/03/2015,127.5
20/03/2015,125.9
23/03/2015,127.21
24/03/2015,126.69
25/03/2015,123.38
26/03/2015,124.24
27/03/2015,123.25
30/03/2015,126.37
31/03/2015,124.43
1/4/15,124.25
2/4/15,125.32
6/4/15,127.35
7/4/15,126.01
8/4/15,125.6
9/4/15,126.56
10/4/15,127.1
13/04/2015,126.85
14/04/2015,126.3
15/04/2015,126.78
16/04/2015,126.17
17/04/2015,124.75
20/04/2015,127.6
21/04/2015,126.91
22/04/2015,128.62
23/04/2015,129.67
24/04/2015,130.28
27/04/2015,132.65
28/04/2015,130.56
29/04/2015,128.64
30/04/2015,125.15
1/5/15,128.95
4/5/15,128.7
5/5/15,125.8
6/5/15,125.01
7/5/15,125.26
8/5/15,127.62
11/5/15,126.32
12/5/15,125.87
13/05/2015,126.01
14/05/2015,128.95
15/05/2015,128.77
18/05/2015,130.19
19/05/2015,130.07
20/05/2015,130.06
21/05/2015,131.39
22/05/2015,132.54
26/05/2015,129.62
27/05/2015,132.04
28/05/2015,131.78
29/05/2015,130.28
1/6/15,130.54
2/6/15,129.96
3/6/15,130.12
4/6/15,129.36
5/6/15,128.65
8/6/15,127.8
9/6/15,127.42
10/6/15,128.88
11/6/15,128.59
12/6/15,127.17
15/06/2015,126.92
16/06/2015,127.6
17/06/2015,127.3
18/06/2015,127.88
19/06/2015,126.6
22/06/2015,127.61
23/06/2015,127.03
24/06/2015,128.11
25/06/2015,127.5
26/06/2015,126.75
29/06/2015,124.53
30/06/2015,125.43
1/7/15,126.6
2/7/15,126.44
6/7/15,126
7/7/15,125.69
8/7/15,122.57
9/7/15,120.07
10/7/15,123.28
13/07/2015,125.66
14/07/2015,125.61
15/07/2015,126.82
16/07/2015,128.51
17/07/2015,129.62
20/07/2015,132.07
21/07/2015,130.75
22/07/2015,125.22
23/07/2015,125.16
24/07/2015,124.5
27/07/2015,122.77
28/07/2015,123.38
29/07/2015,122.99
30/07/2015,122.37
31/07/2015,121.3
3/8/15,118.44
4/8/15,114.64
5/8/15,115.4
6/8/15,115.13
7/8/15,115.52
10/8/15,119.72
11/8/15,113.49
12/8/15,115.24
13/08/2015,115.15
14/08/2015,115.96
17/08/2015,117.16
18/08/2015,116.5
19/08/2015,115.01
20/08/2015,112.65
21/08/2015,105.76
24/08/2015,103.12
25/08/2015,103.74
26/08/2015,109.69
27/08/2015,112.92
28/08/2015,113.29
31/08/2015,112.76
1/9/15,107.72
2/9/15,112.34
3/9/15,110.37
4/9/15,109.27
8/9/15,112.31
9/9/15,110.15
10/9/15,112.57
11/9/15,114.21
14/09/2015,115.31
15/09/2015,116.28
16/09/2015,116.41
17/09/2015,113.92
18/09/2015,113.45
21/09/2015,115.21
22/09/2015,113.4
23/09/2015,114.32
24/09/2015,115
25/09/2015,114.71
28/09/2015,112.44
29/09/2015,109.06
30/09/2015,110.3
1/10/15,109.58
2/10/15,110.38
5/10/15,110.78
6/10/15,111.31
7/10/15,110.78
8/10/15,109.5
9/10/15,112.12
12/10/15,111.6
13/10/2015,111.79
14/10/2015,110.21
15/10/2015,111.86
16/10/2015,111.04
19/10/2015,111.73
20/10/2015,113.77
21/10/2015,113.76
22/10/2015,115.5
23/10/2015,119.08
26/10/2015,115.28
27/10/2015,114.55
28/10/2015,119.27
29/10/2015,120.53
30/10/2015,119.5
2/11/15,121.18
3/11/15,122.57
4/11/15,122
5/11/15,120.92
6/11/15,121.06
9/11/15,120.57
10/11/15,116.77
11/11/15,116.11
12/11/15,115.72
13/11/2015,112.34
16/11/2015,114.18
17/11/2015,113.69
